time,traffic_light_id,state,phase,phase_duration,next_switch
115.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,127.0
115.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,125.0
115.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,120.0
120.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,167.6
120.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,127.0
120.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,127.0
120.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,125.0
120.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,128.75
125.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,167.6
125.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrrrrrrGGGGGGgGrrrrrrrrrrG,6,18.0,127.0
125.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrrrrrgGGGGrGr,6,22.0,127.0
125.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,140.0
125.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,128.75
130.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,167.6
130.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,151.0
130.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,162.2
130.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,140.0
130.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,133.75
135.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,167.6
135.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,151.0
135.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,162.2
135.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,140.0
135.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,138.75
