time,traffic_light_id,state,phase,phase_duration,next_switch
150.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,160.0
155.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrGrG,0,33.0,160.0
155.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrGGGr,10,18.0,160.0
155.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrGrG,0,22.0,160.0
155.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGGrr,3,37.0,160.0
155.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrGrG,3,37.0,160.0
160.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,185.0
160.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrrrrr,11,5.0,185.0
160.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,185.0
160.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,185.0
160.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,185.0
165.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,185.0
165.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrrrrr,11,5.0,185.0
165.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,185.0
165.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,185.0
165.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,185.0
170.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,185.0
170.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrrrrr,11,5.0,185.0
170.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,185.0
170.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,185.0
170.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,185.0
175.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,185.0
175.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrrrrr,11,5.0,185.0
175.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,185.0
175.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,185.0
175.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,185.0
180.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGgggGGgrrrr,1,5.0,185.0
180.0,cluster_123241924_382443557_5344542568_5546892974_#3more,rrrrrrrggGgGrrrrrrrrrrrrrrrrrrr,11,5.0,185.0
180.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,gGGGgrrrrrrrrrrrr,1,5.0,185.0
180.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,rGrrr,4,5.0,185.0
180.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,rrrrgGGGGgrrrrrrrr,4,5.0,185.0
185.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,210.0
185.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,210.0
185.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,210.0
185.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,210.0
185.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,210.0
190.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,210.0
190.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,210.0
190.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,210.0
190.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,210.0
190.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,210.0
195.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,210.0
195.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,210.0
195.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,210.0
195.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,210.0
195.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,210.0
200.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,210.0
200.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,210.0
200.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,210.0
200.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,210.0
200.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,210.0
205.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGggyyyyrrrr,2,3.0,210.0
205.0,cluster_123241924_382443557_5344542568_5546892974_#3more,gGGGgggrrrrrrrrrrrrrGGGGGggGrrr,0,16.0,210.0
205.0,cluster_123281084_3663662939_3664674395_3664674397_#1more,rrrrrGGgGrrrrGrGr,3,22.0,210.0
205.0,cluster_123281085_12840608127_12840608130_12840608135_#1more,grrGG,0,37.0,210.0
205.0,cluster_123292026_3663224279_3663224280_3663662945_#1more,gGGgrrrrrrGGggGrGr,0,37.0,210.0
210.0,cluster_122855839_3663662942_3663662943_3663662944_#1more,rrrrrGGGGrrrrrrrr,3,6.0,235.0
